Category,Type/Cast,Text
WEEKLY,色欲,「今夜はどれくらい、愛を囁いてくれる？全部、逃さず受け止めてあげるから、君も逃げないで」
WEEKLY,色欲,「君の熱をもっと伝えて。壊れちゃうくらい沢山愛して、ね？」
WEEKLY,色欲,「その瞳に映るのが、俺だけなら良いのに。ねぇ、今夜は二人きりで堕ちてみない？」
WEEKLY,嫉妬,「お姫様の事、隅から隅まで占ってあげようか♡…ふふ、そんなに赤くなって、可愛いねぇ」
WEEKLY,嫉妬,「俺以外の誰かと楽しい時間過ごしてないよね？…今夜は、俺だけでお腹いっぱいにしてあげる♡」
WEEKLY,嫉妬,「オーナー直伝の占い、試してみる？お姫様が何に堕ちるか、全部わかっちゃうんだよぉ♡」
WEEKLY,暴食,「僕、お話しするのも大好きなんだ。お姫様のこと、言葉でひとつずつ、味わわせてもらえる…？」
WEEKLY,暴食,「お腹が空いちゃった。お姫様の声とか、仕草とか…全部食べていい？僕をいっぱいに満たしてよ」
WEEKLY,暴食,「美味しいものも良いけど、君との会話の方が甘そうだね…。ねぇ、もっと近くで聞かせて？」
HOLIDAY,デフォルト,今宵は閉門。次の開門まで、しばしの別れを。